country,sic_division,n_segments,scope1_total,scope2_total,scope3_total,scope23_total,scope123_total,share_scope1,share_scope2,share_scope3
FRA,"Transportation, Communications, Electric, Gas and Sanitary service",23,3.649684119830322e7,1.8524441854170205e6,5.3852185697197676e7,5.5704629882614695e7,9.220147108091792e7,0.39583794890075924,0.020091264962478494,0.5840707861367622
FRA,Public Administration,7,1.2387506907348633e6,40118.874429982316,3.032054583902452e6,3.0721734583324343e6,4.310924149067298e6,0.28735153946117953,0.009306328073218906,0.7033421324656016
FRA,Services,38,360686.73424480855,225471.8392271616,5.100164689145448e6,5.325636528372609e6,5.686323262617418e6,0.06343057149353556,0.03965160417618903,0.8969178243302754
FRA,"Finance, Insurance and Real Estate",31,127058.42688155174,244405.8180612997,1.7840082335923057e7,1.8084488153984357e7,1.821154658086591e7,0.0069768059685302395,0.013420376845868017,0.9796028171856017
FRA,Construction,4,827695.6828613281,60395.05909128206,5.306489196816013e6,5.366884255907295e6,6.194579938768623e6,0.13361611134940973,0.009749661750799452,0.8566342268997909
FRA,Retail Trade,7,1.07580704586792e6,1.7305401606232182e6,3.735056371738851e7,3.9081103878011726e7,4.0156910923879646e7,0.026790084723080185,0.043094454249819746,0.9301154610271002
GBR,Mining,23,1.7019781768402506e7,596663.9245402076,2.585036640591948e7,2.6447030330459688e7,4.346681209886219e7,0.39155808642447054,0.013726884851438786,0.5947150287240907
GBR,Manufacturing,75,5.097966241754293e6,9.10142310942369e6,2.9047411029528e8,2.995755334047037e8,3.0467349964645797e8,0.0167325554984925,0.02987271003216541,0.9533947344693421
GBR,Retail Trade,10,674559.5965118408,576301.2083638653,1.681189336352929e7,1.7388194571893156e7,1.8062754168404996e7,0.037345334505618576,0.03190550029031119,0.9307491652040703
GBR,"Transportation, Communications, Electric, Gas and Sanitary service",14,1.177577394631362e7,567564.8802679421,1.2692568411048628e7,1.326013329131657e7,2.503590723763019e7,0.470355391340245,0.022670034478114075,0.5069745741816409
GBR,Services,39,387702.0718148947,244901.16534565296,4.934588398177408e6,5.179489563523061e6,5.567191635337955e6,0.06964051126854362,0.043990072802799485,0.8863694159286569
GBR,"Finance, Insurance and Real Estate",52,127633.7757806778,1.0783180893502282e6,2.276545417355509e7,2.384377226290532e7,2.3971406038685996e7,0.005324417582126697,0.044983514425895425,0.9496920679919779
GBR,Construction,6,126500.14428710938,43352.353445597466,3.1699398306317343e6,3.213292184077332e6,3.339792328364441e6,0.03787664975835754,0.01298055363425184,0.9491427966073906
GBR,Wholesale Trade,8,16551.264177322388,24405.414248142064,4.20533340565359e6,4.229738819901733e6,4.246290084079055e6,0.0038978175889064497,0.00574746749866364,0.9903547149124299
GRC,"Finance, Insurance and Real Estate",7,2146.110408782959,65798.21494118778,423065.9900815595,488864.2050227473,491010.31543153024,0.004370805136541428,0.13400576907098222,0.8616234257924764
IND,Mining,4,4.44145732421875e6,899166.2404770872,2.974311172807788e6,3.8734774132848755e6,8.314934737503625e6,0.5341542013776766,0.10813870088739168,0.3577070977349317
IND,Manufacturing,30,1.024210181780951e8,2.9321873138982053e6,1.5291504519617242e8,1.5584723251007062e8,2.5826825068816572e8,0.39656836605037726,0.011353262764917016,0.5920783711847057
IND,"Transportation, Communications, Electric, Gas and Sanitary service",11,4.8095738383880615e7,598986.4169525113,8.404185669769924e6,9.003172086722435e6,5.709891047060305e7,0.8423232245148067,0.010490330060866837,0.14718644542432657
IND,Services,11,130920.1723022461,412719.27596889494,1.513537414154659e7,1.5548093417515485e7,1.567901358981773e7,0.00835002607480794,0.02632303834706306,0.965326935578129
IND,"Finance, Insurance and Real Estate",14,3489.3937459290028,16936.44337678487,4.259920098504082e6,4.276856541880867e6,4.280345935626796e6,0.0008152130221264534,0.003956793126419294,0.9952279938514542
IRL,Manufacturing,9,3.516820999932766e6,551189.6070890442,3.837457561566195e6,4.388647168655239e6,7.905468168588005e6,0.44485929548191516,0.06972257623895943,0.48541812827912545
IRL,Services,5,17227.766944885254,151327.7567566924,4.328752614207812e6,4.480080370964504e6,4.497308137909389e6,0.0038306841373990717,0.03364851865076747,0.9625207972118335
ISR,Manufacturing,6,1.29329585754776e6,867481.3474855268,4.908782319024092e6,5.776263666509618e6,7.069559524057378e6,0.18293867576144385,0.12270656248575723,0.694354761752799
ISR,"Finance, Insurance and Real Estate",6,3377.1078872680664,10581.689067912122,183536.87922352727,194118.56829143938,197495.67617870745,0.01709965480060551,0.05357934549583301,0.9293209997035615
ITA,Manufacturing,15,5.315369997924805e6,760209.5413590854,5.974768069876617e6,6.734977611235702e6,1.2050347609160507e7,0.4410968189734323,0.06308610888379557,0.49581707214277215
ITA,"Transportation, Communications, Electric, Gas and Sanitary service",35,3.3521199460704803e7,559808.1654502259,3.559075182980462e7,3.6150559995254844e7,6.967175945595965e7,0.4811303707909652,0.008034936534136006,0.5108346926748988
ITA,Services,5,498378.19959926605,23947.32888256344,1.103299541505282e6,1.1272468703878454e6,1.6256250699871115e6,0.30657634949196333,0.014731151312001667,0.678692499196035
ITA,"Finance, Insurance and Real Estate",20,36574.76408934593,93056.93913300298,1.1756073942587344e7,1.1849130881720347e7,1.1885705645809693e7,0.0030772059463074763,0.007829315474072018,0.9890934785796205
ITA,Construction,9,122488.65187263489,72545.53284028967,638775.848437638,711321.3812779277,833810.0331505626,0.14690234826008253,0.08700486916207446,0.7660927825778431
JPN,Manufacturing,1368,1.0911471718171455e8,5.220144269902007e7,4.9330630674482805e8,5.455077494438481e8,6.546224666255627e8,0.16668342860913,0.07974282179483883,0.7535737495960312
JPN,Wholesale Trade,124,3.09258575389114e6,9.276234056611592e6,4.251414444084577e7,5.179037849745736e7,5.48829642513485e7,0.056348737647040514,0.16901845924591563,0.7746328031070439
JPN,"Agriculture, Forestry and Fishing",5,18966.530937194824,577944.3445153394,1.7690804669023957e6,2.347024811417735e6,2.36599134235493e6,0.00801631459830997,0.2442715381790438,0.7477121472226462
JPN,Mining,12,827886.0755615234,581746.7800352736,2.162131183183718e6,2.7438779632189916e6,3.571764038780515e6,0.23178632926831957,0.16287379953405204,0.6053398711976284
JPN,Retail Trade,228,3.997008444668174e6,2.346247706313445e7,2.274880058413167e7,4.621127764726612e7,5.020828609193429e7,0.07960854185202455,0.46730288741928555,0.4530885707286899
JPN,Services,221,2.3394625125141907e6,7.643739152689471e6,2.5029156811658084e7,3.2672895964347556e7,3.5012358476861745e7,0.0668181926121957,0.2183154601750382,0.7148663472127661
JPN,"Transportation, Communications, Electric, Gas and Sanitary service",131,2.671130352036842e8,2.2142990365134645e7,2.4689693052100554e8,2.6903992088614017e8,5.361529560898244e8,0.4982030448022624,0.04129976364697115,0.46049719155076646
