FACTSET_ENTITY_ID,ISO_COUNTRY,YEAR,g_S3_est,SALES,accounting_year,g_S3_CDP_c
002KZY-E,JPN,2015,1.655564419015011e6,3312.546126601261,2015,495942.4637043384
05HWM5-E,JPN,2015,4.856062842130384e6,6157.315833431709,2015,11329.663078903108
05HWRF-E,JPN,2015,1.040234469178045e6,2270.8729322867584,2015,61497.50110809021
05HWVD-E,JPN,2015,2.6665871670469977e6,3230.245960384892,2015,325497.6101627674
002MQ1-E,JPN,2015,3.2619207807716946e6,5895.789238238837,2015,1.0764539024950701e6
05HNPP-E,JPN,2015,1.129839133000698e7,26712.18904723506,2015,3.733318750392234e6
05HWXV-E,JPN,2015,1.2876086726817463e6,2715.0668824689274,2015,191690.201783499
05HWN4-E,JPN,2015,2.552660860243975e6,6056.304468690078,2015,875046.6375246283
05HWLM-E,JPN,2015,1.9636808438314437e6,3751.677369538512,2015,2.1286894733411125e6
05HWV9-E,JPN,2015,1.9442498896218564e6,2811.32234845742,2015,1.5085144452484685e6
003LT3-E,JPN,2015,1.0499943064294746e6,2216.58850881112,2015,66142.06557073038
05FLZC-E,JPN,2015,5.208262207183411e6,9446.64798264944,2015,4.477399714944241e6
003JW8-E,JPN,2015,1.342847720073369e7,26698.676366754822,2015,4.690495115251443e6
05HYZ6-E,JPN,2015,629178.1894705268,1598.7215551929226,2015,52140.60021313389
05HZ0Z-E,JPN,2015,507498.09171510383,1453.6577656309437,2015,107777.95749854995
05HZMS-E,JPN,2015,81589.80195042212,144.07357264826436,2015,24266.828219913103
06CW0V-E,JPN,2015,2.7231201282706102e6,5285.972612764417,2015,295546.1892282694
05HZY1-E,JPN,2015,1.525325932718011e6,3031.7116667543364,2015,907807.448439893
05HWZY-E,JPN,2015,1.258140749049748e6,3385.0272296820644,2015,27327.805392549042
05HWWV-E,JPN,2015,201218.29270373745,962.8697782240213,2015,1500.5371375273774
05HWCG-E,JPN,2015,1.96841464952841e6,4937.695279638357,2015,181979.4382181259
05HWSF-E,JPN,2015,868857.5265914036,3224.5298630731672,2015,237111.45131228663
