ISO_COUNTRY,SECTOR_CODE,FACTSET_ENTITY_ID,FACTSET_ENTITY_ID_SEGMENT_SUB,g_S1,g_S2_EMRIO,g_S23_EMRIO,g_S3_T
AUS,I00013,003HSQ-E,003HSQ-E_Eastern Australia_I00013,381735.1875,4118.134577362697,39243.59043020372,35125.45585284103
AUS,I00013,003HSQ-E,003HSQ-E_Gladstone LNG_I00013,32800.94921875,353.8545266474615,3371.973015193438,3018.1184885459766
AUS,I00013,003HSQ-E,003HSQ-E_Western Australia and Northern Territory_I00013,204157.625,2202.439381374718,20987.9825208055,18785.54313943078
AUS,I00013,Others-I00013-S,Others-I00013-S,5.491361803222656e6,237238.78159830428,2.243189524972754e6,2.0059507433744497e6
AUS,I00014,Others-I00014-S,Others-I00014-S,977949.9375,587587.7584240106,4.542413187223936e7,4.4836544113815345e7
AUS,I00015,Others-I00015-S,Others-I00015-S,42058.1796875,27742.587953407205,352765.002881538,325022.4149281308
AUS,I00016,Others-I00016-S,Others-I00016-S,444069.28125,350350.45215984154,1.948168837423793e7,1.9131337922078088e7
AUS,I00017,Others-I00017-S,Others-I00017-S,156135.25,67593.13802856677,2.1444311634289096e6,2.076838025400343e6
AUS,I00018,Others-I00018-S,Others-I00018-S,52422.390625,36302.494065554936,1.9669113830467286e6,1.9306088889811735e6
AUS,I00019,Others-I00019-S,Others-I00019-S,181532.859375,108981.3863641372,7.177996950353768e6,7.069015563989631e6
AUS,I00020,Others-I00020-S,Others-I00020-S,253056.53125,63585.60381791878,3.827953749788352e6,3.764368145970433e6
AUS,I00021,Others-I00021-S,Others-I00021-S,298086.03125,1.6447270114958019e6,6.758568439355224e6,5.113841427859423e6
AUS,I00022,Others-I00022-S,Others-I00022-S,367487.3125,87757.64634737479,5.320701046396869e6,5.232943400049495e6
AUS,I00023,Others-I00023-S,Others-I00023-S,187369.36581420898,147348.3185018358,2.0464239400166112e6,1.8990756215147753e6
AUS,I00024,Others-I00024-S,Others-I00024-S,153199.3125,205410.34407498367,3.0078812888888684e6,2.802470944813885e6
AUS,I00025,Others-I00025-S,Others-I00025-S,218002.15625,227822.2163887501,2.9231284276963677e6,2.695306211307618e6
AUS,I00026,Others-I00026-S,Others-I00026-S,29396.9921875,58039.87203404189,677841.1522987897,619801.2802647478
AUS,I00027,Others-I00027-S,Others-I00027-S,60926.70703125,35580.80733615239,995265.3831330107,959684.5757968583
AUS,I00028,Others-I00028-S,Others-I00028-S,147676.65625,149146.12487791968,2.1498402562181326e6,2.000694131340213e6
AUS,I00029,Others-I00029-S,Others-I00029-S,3227.905029296875,17615.988404477415,34355.40963645692,16739.421231979504
AUS,I00030,Others-I00030-S,Others-I00030-S,63001.7890625,84436.0313645618,277006.49742609356,192570.46606153174
AUS,I00031,Others-I00031-S,Others-I00031-S,23344.669921875,29915.63222645355,144118.03239327774,114202.4001668242
AUS,I00032,Others-I00032-S,Others-I00032-S,52858.90625,67440.4212991465,4.724164758608343e6,4.656724337309197e6
AUS,I00033,Others-I00033-S,Others-I00033-S,100202.5546875,557791.5633003208,5.310973409088638e6,4.753181845788317e6
AUS,I00034,Others-I00034-S,Others-I00034-S,152562.40625,426214.6405952805,1.6327070079697908e6,1.2064923673745103e6
AUS,I00035,Others-I00035-S,Others-I00035-S,418941.53125,609391.0179650693,3.36478649063192e6,2.7553954726668503e6
AUS,I00036,Others-I00036-S,Others-I00036-S,411218.28125,181429.49664891083,1.9092056288359659e6,1.727776132187055e6
AUS,I00037,Others-I00037-S,Others-I00037-S,1.241579078515625e7,786051.6783198355,2.4245424891657278e7,2.3459373213337444e7
AUS,I00038,Others-I00038-S,Others-I00038-S,3.590751171875e6,761970.3591649141,4.39398176244596e6,3.632011403281046e6
AUS,I00039,Others-I00039-S,Others-I00039-S,198950.28125,12448.318793449229,389610.35058828694,377162.03179483773
AUS,I00040,Others-I00040-S,Others-I00040-S,6.4119975e6,425531.1102438334,6.3650522777793715e6,5.939521167535538e6
AUS,I00041,Others-I00041-S,Others-I00041-S,1.30222e6,404448.18972658453,1.637535454621634e6,1.2330872648950494e6
AUS,I00042,Others-I00042-S,Others-I00042-S,5.133219e6,853114.9407893834,6.437524997147455e6,5.584410056358071e6
AUS,I00043,Others-I00043-S,Others-I00043-S,44506.9140625,210585.60883048922,517918.618467921,307333.00963743177
AUS,I00044,Others-I00044-S,Others-I00044-S,133193.875,286856.10602704936,1.4506503191618386e6,1.1637942131347894e6
AUS,I00045,Others-I00045-S,Others-I00045-S,51571.1015625,79420.89773481367,545400.8087136216,465979.9109788079
AUS,I00046,Others-I00046-S,Others-I00046-S,350086.9719238281,430738.639892085,3.7597904356652345e6,3.3290517957731495e6
AUS,I00047,Others-I00047-S,Others-I00047-S,120622.01025390625,130167.94805629531,1.419686477029817e6,1.2895185289735217e6
AUS,I00048,Others-I00048-S,Others-I00048-S,118384.2109375,19589.91830994793,543569.6386288513,523979.72031890333
AUS,I00049,Others-I00049-S,Others-I00049-S,8.743861e6,819873.1575978642,5.3439490537894005e6,4.524075896191536e6
AUS,I00050,Others-I00050-S,Others-I00050-S,1.2878544525390625e7,5.480588462532643e6,2.935354108780318e7,2.3872952625270538e7
AUS,I00051,Others-I00051-S,Others-I00051-S,6774.97900390625,113063.41122271457,410575.57365249493,297512.16242978035
AUS,I00052,Others-I00052-S,Others-I00052-S,153423.015625,371145.53870172356,7.909804462601436e6,7.538658923899713e6
